complaint_id,date_received,district_occurrence,general_cap_classification,summary
19-0279,2019-06-12,1500,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 4-22-19 at 5:50 AM, they did not receive proper service from a 15th District officer."
19-0280,2019-06-12,1900,CIVIL RIGHTS COMPLAINT,"According to the complainant, on 6-5-19 at 9:00 PM, they were discriminated against and verbally abused by a Highway Patrol officer while in the confines of the 19th District."
19-0281,2019-06-13,2400,DRUGS,"According to the complainant, on 5-31-19 at 7:40 PM, they did not receive proper service from unknown officers and detectives within the confines of the 24th District."
19-0282,2019-06-12,3500,LACK OF SERVICE,"According to the complainants, on 3-10-19, they did not receive proper service from an unknown officer and an unknown Homicide Detective while in the confines of the 35th District."
19-0283,2019-06-13,1700,PHYSICAL ABUSE,"According to the complainant, on 6-10-19 at 1:00 AM, they were physically abused by an unknown officer assigned to the 17th District."
19-0284,2019-06-13,2500,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 6-5-19 at 5:30 PM, they were falsely detained and were not provided medical treatment by unknown officers within the confines of the 25th District."
19-0285,2019-06-13,1900,PHYSICAL ABUSE,"According to the complainant, on 06-09-19, they were falsely detained and physically abused by unknown officers within the confines of the 19th District."
19-0286,2019-06-14,2200,FALSIFICATION,"According to the complainant, on 5-29-19, at 8:30 PM, officers assigned to the 22nd District falsified paperwork."
19-0287,2019-06-13,2200,CRIMINAL ALLEGATION,"According to the complainant, on 6-7-19 at 11:00 PM, they are missing property after being taken into custody by an officer assigned to the 22nd District."
19-0288,2019-06-14,0200,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 5-29-19 at 12:17 PM, they are missing property and an off-duty officer did not follow proper procedure while in the confines of the 2nd District."
19-0291,2019-06-18,1500,LACK OF SERVICE,"According to the complainant, on 6-14-19 at 5:00 PM, they did not receive proper service from an officer assigned to the 15th District."
19-0292,2019-06-18,0200,CRIMINAL ALLEGATION,"According to the complainant, on 5-27-19 at 11:30 PM, they were verbally and physically abused by an off-duty officer assigned to the 22nd District while in the confines of the 2nd District."
19-0293,2019-06-18,1800,CRIMINAL ALLEGATION,"According to the complainant, on 6-15-19 at 2:30 AM, they were harassed by an officer within the confines of the 18th District."
19-0294,2019-06-19,0600,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 3-29-18, they were improperly arrested by a detective assigned to the Homicide Unit."
19-0295,2019-06-24,3900,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 6-11-19 at 2:41 PM, they did not receive proper service from a sergeant assigned to the Neighborhood Services Unit while in the confines of the 39th District."
19-0296,2019-06-21,1600,DEPARTMENTAL VIOLATIONS,"According to the complainant, they are reporting that a detective has abused their power of authority within the confines of the 7th District."
19-0297,2019-06-21,0800,CRIMINAL ALLEGATION,"According to the complainant, on 6-19-19 at 2:00 PM, they were threatened by off-duty officers assigned to the 8th District while in the confines of the 8th District."
19-0298,2019-06-21,1800,PHYSICAL ABUSE,"According to the complainant, on 6-19-19, they were physically abused by officers assigned to the 18th District."
19-0299,2019-06-21,2200,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 6-19-19 at 10:00 AM, a detective assigned to Northeast Detective division, did not follow proper police procedure within the confines of the 7th District."
19-0300,2019-06-21,1800,HARASSMENT,"According to the complainant, on 6-19-19 at 5:47 PM, they were harassed by unknown 18th District officers."
19-0301,2019-06-24,0900,LACK OF SERVICE,"According to the complainant, on 12-19-18 at 7:57 PM, they did not receive proper service from an unknown officer in the 9th District."
19-0302,2019-06-24,1900,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 5-30-19 at 12:25 PM, they did not receive proper service from an unknown officer in the 19th District."
19-0303,2019-06-25,1500,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 6-12-19 at 5:00 PM, they did not receive proper service from a detective assigned to the Northeast Detective Division while in the confines of the 15th District."
19-0304,2019-07-01,1900,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 5-12-19 at 3:30 PM, they were improperly issued a traffic citation by an officer assigned to the 19th District, who also failed to follow procedure and falsified the police report."
19-0305,2019-06-25,3500,LACK OF SERVICE,"According to the complainant, on 6-22-19 at 3:53 AM, they did not receive proper service from unknown dispatchers and unknown 35th District officers."
19-0306,2019-06-25,3900,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 6-23-19 at 7:00 PM, they were harassed by an officer assigned to the 39th District."
19-0307,2019-06-28,0900,NON-INVESTIGATORY INCIDENT,"According to the complainant, on 6-24-19 at 12:40 PM, they did not receive proper service from 9th District officers."
19-0308,2019-06-25,0100,PHYSICAL ABUSE,"According to the complainant, on 6-20-19 at 3:10 PM, they were physically abused by officers while in the confines of the 1st District."
19-0309,2019-06-26,1400,CRIMINAL ALLEGATION,"According to the complainant, on 6-25-19 at 3:30 PM, they are missing property and did not receive proper service from supervisors while in the confines of the 14th District."
19-0310,2019-06-27,1700,PHYSICAL ABUSE,"According to the complainant, on 6-26-19 at 11:15 AM, they were physically abused by an officer assigned to the 17th District."
19-0311,2019-06-28,1400,VERBAL ABUSE,"According to the complainant, on 12-19-18 at 4:30 PM, they were threatened and verbally abused by an off-duty officer within the confines of the 14th District."
19-0312,2019-07-01,1700,UNPROFESSIONAL CONDUCT,"According to the complainant, on 6-19-19 at 10:00 PM, they were stopped by police, treated unprofessionally, and their vehicle was illegally towed within the confines of the 17th District."
19-0313,2019-07-02,0900,PHYSICAL ABUSE,"According to the complainant, on 6-27-19 at 5:10 PM, they were physically abused by officers assigned to the 9th District."
19-0314,2019-07-02,1900,PHYSICAL ABUSE,"According to the complainant, on 6-27-19 at 5:00 PM, they were physically and verbally abused, by officers assigned to the 19th District."
19-0315,2019-07-02,1500,DOMESTIC,"According to the complainant, on 9-22-18 at 10:00 PM, they were harassed by an off-duty officer assigned to the 24th District while in the confines of the 15th District."
19-0316,2019-07-02,3900,UNPROFESSIONAL CONDUCT,"According to the complainant, on 6-28-19, they did not receive proper service and were treated unprofessionally by an officer assigned to the 39th District."
19-0317,2019-07-10,2400,CRIMINAL ALLEGATION,"According to the complainant, on 6-29-19 at 2:45 PM, their vehicle was improperly searched and their property is missing while in the confines of the 24th District."
19-0318,2019-07-05,0200,LACK OF SERVICE,"According to the complainant, on 6-24-19 at 11:00 PM, they did not receive proper service from officers assigned to the 2nd District."
19-0319,2019-07-03,2400,CIVIL RIGHTS COMPLAINT,"According to the complainant, on 6-28-19 at 10:45 PM, they were racially profiled and their vehicle was illegally searched by officers assigned to the 24th District."
19-0320,2019-07-03,2600,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 6-30-19 at 12:00 AM, they witnessed an officer operating a police vehicle in an unsafe manner and they were treated with dismissive behavior by a sergeant while in the confines of the 26th District."
19-0321,2019-07-03,2200,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 6-23-19 at 10:20 PM, they were falsely arrested by officers assigned to the 22nd District."
19-0322,2019-07-03,1500,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 6-1-19 at 10:45 PM, they were verbally abused and falsely issued traffic citations by Highway Patrol officers while in the confines of the 15th District."
19-0323,2019-07-03,2200,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 6-19-19 at 2:40 PM, they were verbally abused and falsely detained by an officer assigned to the 22nd District."
19-0324,2019-07-05,1200,DEPARTMENTAL VIOLATIONS,"According to the complainants, on 6-19-19 at 4:30 PM, officers assigned to the 12th District did not follow proper procedure."
19-0325,2019-07-05,2600,VERBAL ABUSE,"According to the complainant, on 6-30-19 at 2:00 PM, they were verbally abused by officers assigned to the 26th District."
19-0326,2019-07-05,3500,PHYSICAL ABUSE,"According to the complainant, on 7-2-19 at 9:30 AM, they were improperly stopped, physically abused and falsely detained by officers assigned to the 35th District."
19-0327,2019-07-05,2500,LACK OF SERVICE,"According to the complainant, on 6-22-19 at 10:00 AM, they did not receive proper service from officers assigned to the 25th District."
19-0328,2019-07-09,1500,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 6-29-19 at 1:00 AM, a detective assigned to the Northeast Detective Division falsified a report and a detective, along with officers improperly searched the home while in the confines of the 15th District."
19-0329,2019-07-09,2600,UNPROFESSIONAL CONDUCT,"According to the complainant, on 6-30-19 at 12:00 PM, they did not receive proper service and were treated unprofessionally by officers assigned to the 26th District."
19-0330,2019-07-08,2200,NON-INVESTIGATORY INCIDENT,"According to the complainant, on 7-2-19 at 2:30 PM, they did not receive proper service from officers assigned to the 22nd District."
19-0331,2019-07-10,3900,LACK OF SERVICE,"According to the complainant, on 7-4-19 at 1:45 PM, they did not receive proper service from officers assigned to the 39th District."
19-0332,2019-07-10,0700,PHYSICAL ABUSE,"According to the complainant, on 7-8-19 at 3:45 PM, they were physically abused and their property was improperly seized by an officer assigned to the 7th District."
19-0333,2019-07-11,3500,UNPROFESSIONAL CONDUCT,"According to the complainant, on 7-8-19 at 11:10 PM, they were treated unprofessionally by officers assigned to the 39th District."
19-0334,2019-07-10,0500,UNPROFESSIONAL CONDUCT,"According to the complainant, on 6-21-19 at 12:20 AM, they did not receive proper service from a corporal assigned to the 5th District."
19-0335,2019-07-11,1500,PHYSICAL ABUSE,"According to the complainant, on 11-2-15 at 8:10 PM, they were physically abused and illegally searched by officers assigned to the 15th District."
19-0336,2019-07-12,2400,PHYSICAL ABUSE,"According to the complainant, on 7-11-19 at 12:00 AM, they were physically abused by officers assigned to the 24th District."
19-0337,2019-07-12,3900,HARASSMENT,"According to the complainant, on 7-11-19 at 11:14 AM, they were harassed by officers assigned to the 39th District."
19-0338,2019-07-12,1600,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 5-10-19 7:45 PM, officers within the confines of the 16th District did not return their property."
19-0339,2019-07-16,1900,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 7-6-19 at 11:00 PM, they were improperly detained by 19th District officers after the officers failed to properly investigate an incident."
19-0340,2019-07-17,0700,UNPROFESSIONAL CONDUCT,"According to the complainant, on 7-5-19, at 12:30 PM, they were verbally abused by officers assigned to the 7th District."
19-0341,2019-07-15,3500,LACK OF SERVICE,"According to the complainant, on 7-1-19 at 1:00 AM, they did not receive proper service from unknown 39th District officers."
19-0342,2019-07-16,2200,PHYSICAL ABUSE,"According to the complainant, on 12-6-18 at 12:30 AM, they were verbally and physically abused by officers assigned to the 22nd District."
19-0343,2019-07-17,3500,PHYSICAL ABUSE,"According to the complainant, on 7-10-19, they were physically abused by officers assigned to the 35th District."
19-0344,2019-07-17,1900,LACK OF SERVICE,"According to the complainant, on 7-9-19 at 3:56 PM, they did not receive proper service from unknown officers assigned to the 19th District."
19-0345,2019-07-17,2500,LACK OF SERVICE,"According to the complainant, on 7-14-19 at 12:37 AM, they did not receive proper service from officers assigned to the 25th District."
19-0346,2019-07-17,3500,PHYSICAL ABUSE,"According to the complainant, on 7-14-19 at 7:00 PM, they were physically abused by an officer assigned to the 35th District."
19-0347,2019-07-15,0100,CRIMINAL ALLEGATION,"According to the complainant, on 6-7-19, an officer assigned to the 17th District, abused their child, abused their power of authority as an officer, as well as harassed the complainant."
19-0348,2019-07-16,1400,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 7-10-18 at 11:45 PM, officers within the confines of the 14th District did not follow proper departmental policy."
19-0349,2019-07-16,2500,HARASSMENT,"According to the complainant, on 7-11-19, a detective violated departmental policy in the confines of the 25th District."
19-0350,2019-07-18,0600,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 7-11-19 at 11:10 PM, they were falsely arrested by an officer assigned to the 6th District."
19-0351,2019-07-18,1800,CRIMINAL ALLEGATION,"According to the complainant, on 1-28-19 at 1:49 AM, they were harassed by an officer assigned to the 18th District."
19-0352,2019-07-18,1700,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 7-6-19 at 11:10 PM, they were improperly stopped and issued a citation by an officer within the confines of the 17th District."
19-0353,2019-07-18,0300,PHYSICAL ABUSE,"According to the complainant, on 7-4-19, they were verbally and physically abused by unknown officers within the confines of the 3rd District."
19-0354,2019-07-18,1900,PHYSICAL ABUSE,"According to the complainant, on 7-9-19 at 10:15 PM, they were physically abused by an officer assigned to the 19th District."
19-0355,2019-07-18,2200,LACK OF SERVICE,"According to the complainant, they did not receive proper service from officers and detectives within the confines of the 22nd District."
19-0356,2019-07-22,1900,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 7-16-19 at 7:54 PM, they were improperly stopped by officers within the confines of the 19th District."
19-0357,2019-07-22,1900,UNPROFESSIONAL CONDUCT,"According to the complainant, on 7-9-19 at 7:25 PM, they were treated unprofessionally by officers assigned to the 19th District."
19-0358,2019-07-22,1200,LACK OF SERVICE,"According to the complainant, on 7-12-19 at 9:30 PM, they did not receive proper service from an officer assigned to the 12th District."
19-0359,2019-07-24,1600,HARASSMENT,"According to the complainant, on 7-19-19 at 1:05 PM, they have been harassed by an officer assigned to the 16th District."
19-0360,2019-07-25,0800,LACK OF SERVICE,"According to the complainant, on 7-22-19 at 1:00 PM, they did not receive proper service from an officer assigned to the 8th District."
19-0361,2019-07-25,1500,LACK OF SERVICE,"According to the complainant, on 7-10-19 at 10:00 AM, an officer assigned to the 15th District did not follow proper police procedure."
19-0362,2019-07-25,1600,DEPARTMENTAL VIOLATIONS,"According to the complainant, officers assigned to the 16th District did not follow proper police procedure and that they did not receive proper service."
19-0363,2019-07-24,Other Jurisdiction,HARASSMENT,"According to the complainant, they have been harassed by an officer assigned to the Court Liaison Unit."
19-0364,2019-07-25,0600,LACK OF SERVICE,"According to the complainant, 7-17-19 at 11:30 AM, they did not receive proper service and were treated dismissively by officers assigned to the Traffic District within the confines of the 6th District."
19-0365,2019-07-26,1500,LACK OF SERVICE,"According to the complainant, 6-14-19 at 8:17 PM, they did not receive proper service from a sergeant and officers assigned to the 15th District."
19-0366,2019-07-26,1500,CRIMINAL ALLEGATION,"According to the complainant, on 7-23-19 at 6:00 PM, they are missing property and were treated unprofessionally by unknown detectives and officers within the confines of the 15th District."
19-0367,2019-08-21,0900,LACK OF SERVICE,"According to the complainant, 7-24-19 at 9:28 PM, they did not receive proper service from unknown officers within the confines of the 2nd District."
19-0368,2019-07-30,1900,UNPROFESSIONAL CONDUCT,"According to the complainant, on 7-24-19 at 9:45 PM, they were verbally abused by an officer assigned to the 19th District."
19-0369,2019-07-30,1400,VERBAL ABUSE,"According to the complainant, on 7-25-19 at 12:00 PM, they were verbally abused by an unknown officer assigned to the 14th District."
19-0370,2019-08-05,2400,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 7-24-19 at 4:25 AM, they were falsely arrested by officers assigned to the 24th District."
19-0371,2019-08-06,0600,VERBAL ABUSE,"According to the complainant, on 7-23-19 at 1:00 PM, they were verbally abused by a detective assigned to the Homicide Unit."
19-0372,2019-08-05,1700,DEPARTMENTAL VIOLATIONS,"According to the complainant, they witnessed a false arrest of an unknown individual by officers assigned to the 17th district."
19-0373,2019-08-08,1900,PHYSICAL ABUSE,"According to the complainant, on 7-25-19 at 8:45 PM, they were physically abused and threatened by unknown officers while in the confines of the 19th District."
19-0374,2019-08-05,2200,VERBAL ABUSE,"According to the complainant, on 7-31-19 at 10:20 AM, they were verbally abused by an officer assigned to the 22nd District."
19-0375,2019-08-13,3500,HARASSMENT,"According to the complainant, since 2009, they have been harassed by officers assigned to the 35th and 15th District."
19-0376,2019-08-08,1800,LACK OF SERVICE,"According to the complainant, on 5-6-19 at 5:30 PM, they did not receive proper service from a police dispatcher and officers assigned to the 18th District while in the confines of the 12th District."
19-0377,2019-08-08,1900,PHYSICAL ABUSE,"According to the complainant, on 7-15-19 at 9:35 PM, they were physically abused by unknown officers while in the confines of the 19th District."
19-0378,2019-08-08,7700,LACK OF SERVICE,"According to the complainant, on 7-23-19, they did not receive proper service from an officer assigned to the Philadelphia International Airport."
19-0379,2019-08-08,1600,PHYSICAL ABUSE,"According to the complainant, on 8-1-19 at 5:30 PM, they were physically abused by officers while in the confines of the 16th District."
19-0380,2019-08-08,3900,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 8-3-19 at 8:20 PM, they were verbally abused by officers assigned to the 39th District."
19-0381,2019-08-08,7700,UNPROFESSIONAL CONDUCT,"According to the complainant, on 8-3-19 at 6:30 PM, they were treated unprofessionally by an officer assigned to the Airport District."
19-0382,2019-08-08,1900,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 7-31-19 at 6:30 AM, unknown officers did not follow proper police procedure within the confines of the 19th District."
19-0383,2019-08-09,2500,DEPARTMENTAL VIOLATIONS,"According to the complainants, on 7-1-19 at 7:00 PM, their home was improperly entered, property was improperly seized by officers and information was falsified by detectives assigned to East Detective Division while in the confines of the 25th District."
19-0384,2019-08-09,2600,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 6-1-19 at 3:00 AM, officers assigned to the 26th District failed to follow departmental policies."
19-0385,2019-08-09,1400,LACK OF SERVICE,"According to the complainant, on 7-20-19 at 1:50 AM, they did not receive proper service from an officer assigned to the 14th District."
19-0386,2019-08-12,1900,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 8-3-19 at 5:33 PM, their property was not returned by officers while in the confines of the 19th District."
19-0387,2019-08-08,0200,CRIMINAL ALLEGATION,"According to the complainant, on 8-7-19 at 6:40 AM, they were threatened and verbally abused by a civilian Police Department employee while in the confines of the 2nd District."
19-0388,2019-08-12,2600,PHYSICAL ABUSE,"According to the complainant, on 4-7-14, they did not receive proper service and were physically abused by unknown officers while in the confines of the 22nd District."
19-0389,2019-08-12,0900,UNPROFESSIONAL CONDUCT,"According to the complainant, on 8-7-19 at 8:51 AM, they were treated unprofessionally by an officer assigned to the Traffic Unit while in the confines of the 9th District."
19-0390,2019-08-13,1900,VERBAL ABUSE,"According to the complainant, on 8-2-19 at 1:00 PM, they were verbally abused by a supervisor while in the confines of the 19th District."
19-0391,2019-08-13,2400,VERBAL ABUSE,"According to the complainant, on 7-31-19, they witnessed someone being verbally abused by an unknown officer while in the confines of the 24th District."
19-0392,2019-08-15,1600,PHYSICAL ABUSE,"According to the complainant, on 8-9-19 at 9:00 PM, they were physically abused by officers assigned to the 16th District."
19-0393,2019-08-14,1200,LACK OF SERVICE,"According to the complainant, on 8-6-19 at 12:29 AM, they did not receive proper service from unknown officers assigned to the 12th District."
19-0394,2019-08-14,1600,CIVIL RIGHTS COMPLAINT,"According to the complainant, on 8-3-19 at 7:40 PM, they were racially profiled by unknown officers assigned to the 16th District."
19-0395,2019-08-15,0500,VERBAL ABUSE,"According to the complainant, on 8-12-19 at 7:39 PM, they were verbally abused by an officer assigned to the 5th District."
19-0396,2019-08-14,0600,PHYSICAL ABUSE,"According to the complainant, on 8-10-19 at 2:06 AM, they were physically abused by an officer assigned to the 6th District."
19-0397,2019-08-15,1500,UNPROFESSIONAL CONDUCT,"According to the complainant, between January and June 2019, they were treated unprofessionally and did not receive proper service from a detective assigned to the Special Victims Unit."
19-0398,2019-08-15,3900,PHYSICAL ABUSE,"According to the complainant, on 6-26-19 at 6:17 PM, they were physically abused and improperly searched by officers assigned to the 39th District."
19-0399,2019-08-19,0100,LACK OF SERVICE,"According to the complainant, on 8-2-19 at 5:15 PM, they did not receive proper service from officers while in the confines of the 1st District."
19-0400,2019-08-15,1700,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 8-11-19 at 7:00 AM, their property was not returned and they were treated unprofessionally by officers assigned to the 17th District."
19-0401,2019-08-15,1400,CIVIL RIGHTS COMPLAINT,"According to the complainant, on 6-6-19 at 1:10 PM, they were racially profiled by officers assigned to the 14th District."
19-0402,2019-08-15,2200,VERBAL ABUSE,"According to the complainant, in August 2019, they were verbally abused by an officer assigned to the 22nd District."
19-0403,2019-08-16,0600,PHYSICAL ABUSE,"According to the complainant, on 8-6-19 at 10:50 AM, they were verbally abused and threatened by an officer within the confines of the 9th District."
19-0404,2019-08-19,0200,PHYSICAL ABUSE,"According to the complainant, on 8-14-19 at 2:00 PM, they were physically abused and threatened by officers while in the confines of the 2nd District."
19-0405,2019-08-21,2200,LACK OF SERVICE,"According to the complainant, on 7-31-19, they did not receive proper service from an unknown Northwest Detective Division detective."
19-0406,2019-08-21,2200,LACK OF SERVICE,"According to the complainant, on 8-14-19 at 2:00 PM, they did not receive proper service from unknown officers within the confines of the 22nd District."
19-0407,2019-08-21,1900,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 6-14-19 at 8:20 PM, they were treated unprofessionally and issued false traffic citations from an officer assigned to the Highway Patrol Unit, while in the confines of the 19th District."
19-0408,2019-08-19,2500,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 8-8-19 at 11:30 AM, they were treated unprofessionally and did not receive proper service from an officer assigned to the 25th District."
19-0409,2019-08-21,2500,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 8-13-19 at 2:00 AM, they did not receive proper service from officers assigned to the 24th District."
19-0410,2019-08-21,3900,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 5-16-19 at 10:15 PM, they were treated unprofessionally and falsely issued traffic tickets by officers assigned to the Highway Patrol Unit within the confines of the 39th District."
19-0411,2019-09-03,3900,NON-INVESTIGATORY INCIDENT,"According to the complainant, on 8-17-19 at 12:40 AM, they were falsely issued traffic tickets by officers assigned to the 39th District."
19-0412,2019-08-22,1600,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 8-19-19 at 5:45 AM, their property was damaged and improperly searched by unknown officers within the confines of the 16th District."
19-0413,2019-08-21,0300,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 8-13-19, unknown officers did not follow proper police procedures within the confines of the 3rd District."
19-0414,2019-08-22,1400,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 8-11-19 at 5:57 PM, they are missing property and were improperly searched by an officer assigned to 14th District."
19-0415,2019-08-23,1200,PHYSICAL ABUSE,"According to the complainant, on 8-11-19 at 1:00 AM, an officer assigned to the 12th District damaged their property, and physically and verbally abused them."
19-0416,2019-08-23,0100,VERBAL ABUSE,"According to the complainant, on 8-1-19 at 12:30 AM, they were verbally abused by an officer assigned to the 1st District."
19-0417,2019-08-26,1700,CIVIL RIGHTS COMPLAINT,"According to the complainant, on 8-20-19 at 10:50 AM, they were racially profiled and harassed by officers assigned to the 17th District."
19-0418,2019-08-23,1200,UNPROFESSIONAL CONDUCT,"According to the complainant, on 7-17-19 at 7:25 AM, they were verbally abused and threatened by a sergeant assigned to the 12th District."
19-0419,2019-08-26,3500,CIVIL RIGHTS COMPLAINT,"According to the complainant, on 8-21-19 at 6:00 PM, they were treated unprofessionally and were racially profiled by an officer assigned to the 35th District."
19-0420,2019-08-26,0700,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 8-15-19 at 8:26 AM, they received confidential information pertaining to their complaint against police from an unofficial source."
19-0421,2019-08-28,2400,LACK OF SERVICE,"According to the complainant, on 8-18-19 at 6:00 PM, they did not receive proper service from an officer while in the confines of the 24th District."
19-0422,2019-08-29,2400,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 8-24-19 at 1:00 AM, they were verbally abused, improperly stopped and falsely issued a ticket by officers assigned to the 24th District."
19-0423,2019-08-28,0900,UNPROFESSIONAL CONDUCT,"According to the complainant, on 8-14-19 at 2:15 PM, they were verbally abused and treated unprofessionally by an officer while in the confines of the 9th District."
19-0424,2019-08-27,2400,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 8-03-19 at 1:56 PM, an officer from the 24th District did not follow proper policy."
19-0425,2019-08-29,1600,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 2-22-19 at 12:06 PM, officers did not follow proper departmental procedures while in the confines of the 16th District."
19-0426,2019-09-03,1800,LACK OF SERVICE,"According to the complainant, on 8-6-19, they did not receive proper service from an officer assigned to the 18th District and a detective, assigned to Southwest Detective Division."
19-0427,2019-08-29,0700,VERBAL ABUSE,"According to the complainant, on 8-17-19 at 11:30 PM, they were verbally abused by an officer while in the confines of the 7th District."
19-0428,2019-09-03,3900,LACK OF SERVICE,"According to the complainant, on 8-12-19 at 7:42 AM, they did not receive proper service from officers assigned to the 39th District."
19-0429,2019-08-29,2600,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 8-1-19 at 4:00 PM, their property was damaged and they were physically abused by unknown officers within the confines of the 26th District."
19-0430,2019-09-03,0600,LACK OF SERVICE,"According to the complainant, on 7-11-19, they were treated unprofessionally and did not receive proper service from an unknown detective assigned to Central Detective Division."
19-0431,2019-09-16,1400,NON-INVESTIGATORY INCIDENT,"According to the complainant, on 6-26-19 at 4:30 PM, they were falsely issued a ticket by unknown officers assigned to the 14th District."
19-0432,2019-09-03,1400,HARASSMENT,"According to the complainant, on 8-14-19 at 9:57 PM, they were harassed by an officer assigned to the 14th district."
19-0433,2019-09-03,2500,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 1-23-19, they are missing property and were falsely arrested by unknown officers within the confines of the 25th District."
19-0434,2019-09-03,3900,UNPROFESSIONAL CONDUCT,"According to the complainant, on 8-29-19 at 1:00 PM, they were treated unprofessionally by an unknown supervisor within the confines of the 39th District."
19-0435,2019-09-03,0100,VERBAL ABUSE,"According to the complainant, on 8-29-19 at 5:26 PM, they were verbally abused and did not receive proper service from an officer assigned to the 1st District"
19-0436,2019-09-04,1200,UNPROFESSIONAL CONDUCT,"According to the complainant, on 8-13-19, while in the confines of the 12th District, did not receive proper service and were treated unprofessionally by officers assigned to the 18th District."
19-0437,2019-09-04,3900,LACK OF SERVICE,"According to the complainant, on 8-28-19 at 12:30 AM, they did not receive proper service from officers assigned to the 39th District."
19-0438,2019-09-05,2400,LACK OF SERVICE,"According to the complainant, on 8-20-19 at 9:30 AM, they did not receive proper service from an officer assigned to the 24th District and a Detective assigned to East Detective Division."
19-0439,2019-09-05,2500,LACK OF SERVICE,"According to the complainants, on 8-21-19, they were treated unprofessionally and did not receive proper service from a sergeant assigned to the 25th District."
19-0440,2019-09-05,0200,DEPARTMENTAL VIOLATIONS,"According to the complainants, on 4-19-19, a detective assigned to the Central Dective Division, misused the police departmental computer system and vandalized her property."
19-0441,2019-09-09,0300,LACK OF SERVICE,"According to the complainant, they did not receive proper service from an officer assigned to the 3rd District."
19-0442,2019-09-05,1500,LACK OF SERVICE,"According to the complainants, they did not receive proper service from unknown officers while in the confines of the 15th, 24th, and 25th Districts."
19-0443,2019-09-05,0300,PHYSICAL ABUSE,"According to the complainants, on 8-26-19 at 1:30 AM, they were physically abused and property was not returned by officers while in the confines of the 3rd District."
19-0444,2019-09-10,1200,LACK OF SERVICE,"According to the complainant, on 8-6-19 at 10:19 PM, they did not receive proper service from 12th District officers."
19-0445,2019-09-10,1600,UNPROFESSIONAL CONDUCT,"According to the complainant, on 6-12-19 at 9:50 PM, they were treated unprofessionally by officers while in the confines of the 16th District."
19-0446,2019-09-10,2200,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 9-1-19 at 4:44 PM, their property was not returned to them by an officer assigned to the 22nd District."
19-0447,2019-09-11,0600,VERBAL ABUSE,"According to the complainant, on 8-20-19 at 2:00 PM, they were verbally abused by an officer within the confines of the 6th District."
19-0448,2019-09-11,1700,VERBAL ABUSE,"According to the complainant, on 8-19-19 at 10:30 PM, they were verbally abused by an officer assigned to the 17th District."
19-0449,2019-09-10,1800,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 9-6-19 at 4:00 PM, they did not receive proper service from unknown officers assigned to the 18th District."
19-0450,2019-09-10,1400,CRIMINAL ALLEGATION,"According to the complainant, on 9-8-19 at 6:00 PM, they were verbally abused, improperly stopped and searched by unknown officers assigned to the 14th District and are also missing money."
19-0451,2019-09-11,0200,CIVIL RIGHTS COMPLAINT,"According to the complainant, on 9-4-19 at 3:00 AM, they were stereotyped and legal documents falsified by an officer assigned to the 2nd District."
19-0452,2019-09-12,3500,DOMESTIC,"According to the complainant, on 8-31-19, they were physically abused by an off-duty officer assigned to the 25th District who also abused their police authority while in the confines of the 35th District."
